region,Supply,The number of highschool
가평군,1542,5
가평가평읍,639,1
가평북면,0,0
가평상면,0,0
가평설악면,476,2
가평조종면,178,1
가평청평면,249,1
고양시,30361,36
덕양구,10314,13
고양고양동,596,1
고양관산동,734,1
고양능곡동,896,1
고양대덕동,0,0
고양삼송동,587,1
고양성사1동,748,1
고양성사2동,0,0
고양원신동,0,0
고양주교동,0,0
고양창릉동,643,1
고양행신1동,3554,4
고양행신2동,0,0
고양행신3동,0,0
고양행주동,0,0
고양화전동,0,0
고양화정1동,1820,2
고양화정2동,0,0
고양효자동,0,0
고양흥도동,736,1
일산동구,9826,11
고양고봉동,0,0
고양마두1동,1947,2
고양마두2동,0,0
고양백석1동,2077,2
고양백석2동,0,0
고양식사동,1546,2
고양장항1동,0,0
고양장항2동,0,0
고양정발산동,1018,1
고양중산동,1935,2
고양풍산동,1303,2
일산서구,10221,12
고양대화동,3179,3
고양송산동,3060,4
고양송포동,0,0
고양일산1동,1398,2
고양일산2동,0,0
고양일산3동,0,0
고양주엽1동,1583,2
고양주엽2동,0,0
고양탄현동,1001,1
과천시,2349,4
과천갈현동,570,1
과천과천동,0,0
과천문원동,0,0
과천별양동,598,1
과천부림동,0,0
과천중앙동,1181,2
광명시,8710,11
광명광명1동,2157,3
광명광명2동,0,0
광명광명3동,0,0
광명광명4동,0,0
광명광명5동,0,0
광명광명6동,0,0
광명광명7동,0,0
광명소하1동,3834,5
광명소하2동,0,0
광명철산1동,2016,2
광명철산2동,0,0
광명철산3동,0,0
광명철산4동,0,0
광명하안1동,703,1
광명하안2동,0,0
광명하안3동,0,0
광명하안4동,0,0
광명학온동,0,0
광주시,6424,8
광주경안동,1183,1
광주곤지암읍,405,1
광주광남동,1371,2
광주남종면,0,0
광주남한산성면,0,0
광주도척면,0,0
광주송정동,2422,3
광주오포읍,0,0
광주초월읍,1043,1
광주퇴촌면,0,0
구리시,5115,7
구리갈매동,653,1
구리교문1동,648,1
구리교문2동,0,0
구리동구동,0,0
구리수택1동,3050,4
구리수택2동,0,0
구리수택3동,0,0
구리인창동,764,1
군포시,7059,8
군포광정동,0,0
군포군포1동,1893,2
군포군포2동,0,0
군포궁내동,0,0
군포금정동,2026,2
군포대야동,0,0
군포산본1동,3140,4
군포산본2동,0,0
군포수리동,0,0
군포오금동,0,0
군포재궁동,0,0
김포시,10130,13
김포고촌읍,0,0
김포구래동,0,0
김포김포본동,677,1
김포대곶면,0,0
김포마산동,796,1
김포사우동,2158,2
김포양촌읍,600,1
김포운양동,2033,2
김포월곶면,524,1
김포장기동,950,1
김포장기본동,0,0
김포통진읍,1012,2
김포풍무동,1113,1
김포하성면,267,1
남양주시,18276,20
남양금곡동,884,1
남양다산1동,3163,3
남양다산2동,0,0
남양별내동,1439,2
남양별내면,650,1
남양수동면,0,0
남양양정동,0,0
남양오남읍,1050,1
남양와부읍,1736,2
남양조안면,0,0
남양진건읍,1992,2
남양진접읍,2062,2
남양퇴계원읍,0,0
남양평내동,887,1
남양호평동,1876,2
남양화도읍,2537,3
남양화도읍동부출장소,0,0
동두천시,2906,6
동두보산동,0,0
동두불현동,0,0
동두상패동,0,0
동두생연1동,1466,3
동두생연2동,0,0
동두소요동,314,1
동두송내동,1126,2
동두중앙동,0,0
부천시,20886,28
부천대산동,3791,5
부천범안동,1674,2
부천부천동,1912,3
부천상동,3750,5
부천성곡동,523,1
부천소사본동,615,1
부천신중동,0,0
부천심곡동,803,1
부천오정동,1474,2
부천중동,6344,8
성남시,27407,36
분당구,18292,24
성남구미1동,1043,2
성남구미동,0,0
성남금곡동,716,1
성남백현동,1290,2
성남분당동,990,1
성남삼평동,614,1
성남서현1동,1434,2
성남서현2동,0,0
성남수내1동,1650,2
성남수내2동,0,0
성남수내3동,0,0
성남야탑1동,3183,4
성남야탑2동,0,0
성남야탑3동,0,0
성남운중동,655,1
성남이매1동,2404,3
성남이매2동,0,0
성남정자1동,3453,4
성남정자2동,0,0
성남정자3동,0,0
성남정자동,0,0
성남판교동,860,1
수정구,3872,5
성남고등동,0,0
성남단대동,1112,1
성남복정동,1351,2
성남산성동,0,0
성남수진1동,730,1
성남수진2동,0,0
성남시흥동,0,0
성남신촌동,679,1
성남신흥1동,0,0
성남신흥2동,0,0
성남신흥3동,0,0
성남양지동,0,0
성남위례동,0,0
성남태평1동,0,0
성남태평2동,0,0
성남태평3동,0,0
성남태평4동,0,0
중원구,5243,7
성남금광1동,714,1
성남금광2동,0,0
성남도촌동,0,0
성남상대원1동,0,0
성남상대원2동,0,0
성남상대원3동,0,0
성남성남동,4012,5
성남은행1동,0,0
성남은행2동,0,0
성남중앙동,0,0
성남하대원동,517,1
수원시,37937,44
권선구,6830,9
수원곡선동,0,0
수원구운동,0,0
수원권선1동,2940,3
수원권선2동,0,0
수원금곡동,811,1
수원서둔동,729,1
수원세류1동,0,0
수원세류2동,0,0
수원세류3동,0,0
수원입북동,63,1
수원평동,1647,2
수원호매실동,640,1
영통구,10736,12
수원광교1동,2504,3
수원광교2동,0,0
수원망포1동,800,1
수원망포2동,0,0
수원매탄1동,2908,3
수원매탄2동,0,0
수원매탄3동,0,0
수원매탄4동,0,0
수원영통1동,3796,4
수원영통2동,0,0
수원영통3동,0,0
수원원천동,728,1
장안구,9478,12
수원송죽동,380,1
수원연무동,0,0
수원영화동,816,1
수원율천동,0,0
수원정자1동,4687,6
수원정자2동,0,0
수원정자3동,0,0
수원조원1동,1687,2
수원조원2동,0,0
수원파장동,1908,2
팔달구,10893,11
수원고등동,959,1
수원매교동,1068,1
수원매산동,0,0
수원우만1동,2261,2
수원우만2동,0,0
수원인계동,1261,1
수원지동,0,0
수원행궁동,3116,3
수원화서1동,2228,3
수원화서2동,0,0
시흥시,13267,16
시흥과림동,1413,2
시흥군자동,525,1
시흥능곡동,950,1
시흥대야동,0,0
시흥매화동,634,1
시흥목감동,0,0
시흥배곧동,0,0
시흥신천동,794,1
시흥신현동,0,0
시흥연성동,1033,1
시흥월곶동,0,0
시흥은행동,2112,2
시흥장곡동,726,1
시흥정왕1동,5080,6
시흥정왕2동,0,0
시흥정왕3동,0,0
시흥정왕4동,0,0
시흥정왕본동,0,0
안산시,21649,24
단원구,9926,12
안산고잔동,3889,4
안산대부동,74,1
안산백운동,0,0
안산선부1동,1654,2
안산선부2동,0,0
안산선부3동,0,0
안산신길동,815,1
안산와동,1580,2
안산원곡동,1030,1
안산중앙동,0,0
안산초지동,884,1
안산호수동,0,0
상록구,11723,12
안산반월동,706,1
안산본오1동,3193,3
안산본오2동,0,0
안산본오3동,0,0
안산부곡동,2051,2
안산사동,1099,1
안산사이동,0,0
안산성포동,990,1
안산안산동,1701,2
안산월피동,776,1
안산이동,1207,1
안산일동,0,0
안산해양동,0,0
안성시,4797,9
안성고삼면,0,0
안성공도읍,901,1
안성금광면,0,0
안성대덕면,0,0
안성미양면,716,1
안성보개면,0,0
안성삼죽면,0,0
안성서운면,0,0
안성안성1동,2851,4
안성안성2동,0,0
안성안성3동,0,0
안성양성면,0,0
안성원곡면,0,0
안성일죽면,138,1
안성죽산면,191,2
안양시,18481,21
동안구,8470,9
안양갈산동,0,0
안양관양1동,2898,3
안양관양2동,0,0
안양귀인동,0,0
안양달안동,0,0
안양범계동,0,0
안양부림동,0,0
안양부흥동,0,0
안양비산1동,1428,2
안양비산2동,0,0
안양비산3동,0,0
안양신촌동,0,0
안양평안동,0,0
안양평촌동,2130,2
안양호계1동,2014,2
안양호계2동,0,0
안양호계3동,0,0
만안구,10011,12
안양박달1동,950,1
안양박달2동,0,0
안양석수1동,821,1
안양석수2동,0,0
안양석수3동,0,0
안양안양1동,8240,10
안양안양2동,0,0
안양안양3동,0,0
안양안양4동,0,0
안양안양5동,0,0
안양안양6동,0,0
안양안양7동,0,0
안양안양8동,0,0
안양안양9동,0,0
양주시,5306,7
양주광적면,0,0
양주남면,342,1
양주백석읍,756,1
양주양주1동,1655,2
양주양주2동,0,0
양주은현면,0,0
양주장흥면,0,0
양주회천1동,2553,3
양주회천2동,0,0
양주회천3동,0,0
양주회천4동,0,0
양평군,2931,8
양평강상면,0,0
양평강하면,0,0
양평개군면,0,0
양평단월면,0,0
양평서종면,0,0
양평양동면,204,1
양평양서면,923,2
양평양평읍,1226,2
양평옥천면,0,0
양평용문면,428,1
양평지평면,81,1
양평청운면,69,1
여주시,2994,9
여주가남읍,471,1
여주강천면,0,0
여주금사면,0,0
여주능서면,426,1
여주대신면,560,2
여주북내면,253,1
여주산북면,0,0
여주여흥동,513,1
여주오학동,0,0
여주점동면,161,1
여주중앙동,487,1
여주흥천면,123,1
연천군,875,2
연천군남면,0,0
연천미산면,0,0
연천백학면,0,0
연천신서면,0,0
연천연천읍,176,1
연천왕징면,0,0
연천장남면,0,0
연천전곡읍,699,1
연천중면,0,0
연천청산면,0,0
오산시,6633,8
오산남촌동,1599,2
오산대원동,1575,2
오산세마동,862,1
오산신장동,1691,2
오산중앙동,906,1
오산초평동,0,0
용인시,27391,31
기흥구,10155,12
용인구갈동,1041,1
용인구성동,837,1
용인기흥동,0,0
용인동백1동,2542,3
용인동백2동,0,0
용인동백3동,0,0
용인마북동,849,1
용인보라동,708,1
용인보정동,985,1
용인상갈동,863,1
용인상하동,0,0
용인서농동,732,1
용인신갈동,876,1
용인영덕1동,722,1
용인영덕2동,0,0
수지구,10544,10
용인동천동,0,0
용인상현1동,2017,2
용인상현2동,0,0
용인성복동,1114,1
용인신봉동,2146,2
용인죽전1동,2637,3
용인죽전2동,0,0
용인풍덕천1동,2630,2
용인풍덕천2동,0,0
처인구,6692,9
용인남사면,0,0
용인동부동,0,0
용인모현읍,1082,1
용인백암면,262,1
용인양지면,0,0
용인역삼동,1138,1
용인원삼면,0,0
용인유림동,1771,2
용인이동읍,161,1
용인중앙동,748,1
용인포곡읍,1530,2
의왕시,3436,5
의왕고천동,1443,2
의왕내손1동,821,1
의왕내손2동,0,0
의왕부곡동,583,1
의왕오전동,589,1
의왕청계동,0,0
의정부시,12767,16
의정가능동,4988,6
의정녹양동,951,2
의정송산1동,3490,4
의정송산2동,0,0
의정송산3동,0,0
의정신곡1동,1665,2
의정신곡2동,0,0
의정의정부1동,791,1
의정의정부2동,0,0
의정자금동,0,0
의정장암동,0,0
의정호원1동,882,1
의정호원2동,0,0
의정흥선동,0,0
이천시,6424,12
이천관고동,1465,2
이천대월면,0,0
이천마장면,140,1
이천모가면,0,0
이천백사면,0,0
이천부발읍,789,1
이천설성면,141,1
이천신둔면,218,1
이천율면,54,1
이천장호원읍,776,2
이천중리동,0,0
이천증포동,2841,3
이천창전동,0,0
이천호법면,0,0
파주시,12249,18
파주광탄면,1316,2
파주교하동,1048,1
파주금촌1동,1852,2
파주금촌2동,0,0
파주금촌3동,0,0
파주문산읍,678,2
파주법원읍,391,1
파주운정1동,4096,4
파주운정2동,0,0
파주운정3동,0,0
파주월롱면,257,1
파주장단출장소,0,0
파주적성면,204,2
파주조리읍,820,1
파주진동면,0,0
파주탄현면,0,0
파주파주읍,1587,2
파주파평면,0,0
평택시,15026,21
평택고덕면,256,1
평택비전1동,4957,6
평택비전2동,0,0
평택서정동,496,1
평택서탄면,0,0
평택세교동,1032,1
평택송북동,0,0
평택송탄동,796,1
평택신장1동,846,1
평택신장2동,0,0
평택신평동,809,1
평택안중읍,1799,3
평택오성면,0,0
평택용이동,0,0
평택원평동,0,0
평택중앙동,2143,3
평택지산동,0,0
평택진위면,425,1
평택청북읍,764,1
평택통복동,0,0
평택팽성읍,703,1
평택포승읍,0,0
평택현덕면,0,0
포천시,3645,7
포천가산면,0,0
포천관인면,94,1
포천군내면,578,1
포천내촌면,0,0
포천선단동,0,0
포천소흘읍,1836,2
포천신북면,0,0
포천영북면,146,1
포천영중면,0,0
포천이동면,0,0
포천일동면,265,1
포천창수면,0,0
포천포천동,726,1
포천화현면,0,0
하남시,4854,9
하남감북동,189,1
하남감일동,0,0
하남덕풍1동,1247,2
하남덕풍2동,0,0
하남덕풍3동,0,0
하남미사1동,1415,2
하남미사2동,0,0
하남신장1동,614,1
하남신장2동,0,0
하남위례동,0,0
하남천현동,989,2
하남초이동,0,0
하남춘궁동,0,0
하남풍산동,400,1
화성시,19004,26
화성기배동,319,1
화성남양읍,503,1
화성동탄1동,8355,10
화성동탄2동,0,0
화성동탄3동,0,0
화성동탄4동,0,0
화성동탄5동,0,0
화성동탄6동,0,0
화성동탄7동,0,0
화성동탄8동,0,0
화성마도면,0,0
화성매송면,0,0
화성반월동,909,1
화성병점1동,2058,2
화성병점2동,0,0
화성봉담읍,885,1
화성비봉면,710,1
화성새솔동,0,0
화성서신면,0,0
화성송산면,283,1
화성양감면,0,0
화성우정읍,745,2
화성장안면,0,0
화성정남면,0,0
화성진안동,846,1
화성팔탄면,0,0
화성향남읍,3391,5
화성화산동,0,0
